age,gender,capital_gain,capital_loss,hours_per_week,workclass_fedGov,workclass_otherGov,workclass_private,workclass_selfEmployed,workclass_unEmployed,education_associates,education_bachelors,education_dropout,education_hs_grad,education_masters_doctorate,education_prof_school,marital_status_married,marital_status_single,occupation_blueCollar,occupation_other,occupation_professional,occupation_sales,occupation_whiteCollar,income,truth
27,1,0,0,50,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
55,1,0,0,60,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
36,1,0,0,30,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
56,0,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
17,0,0,0,20,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
40,0,0,0,50,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
28,1,0,0,40,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
66,1,0,0,40,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
18,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
40,1,0,0,45,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
21,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
30,0,0,0,40,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
19,0,0,0,30,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
48,1,0,0,50,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
27,0,0,1590,40,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
17,1,0,0,20,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
38,0,0,0,38,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
53,1,0,0,60,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
48,1,0,0,40,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
49,0,4650,0,40,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
34,1,0,1573,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
29,1,0,0,40,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
22,1,0,0,30,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
48,1,0,0,50,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
46,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
58,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
48,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
60,0,0,0,40,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
23,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
25,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
36,0,0,0,35,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
19,1,0,0,50,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
19,1,0,0,16,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
23,0,0,0,15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
36,1,0,0,60,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
57,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
30,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
31,0,0,0,30,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
22,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
24,0,0,0,35,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
37,1,0,0,44,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
53,0,0,0,35,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
45,1,0,0,40,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
28,1,0,0,46,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
18,0,0,0,15,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
29,1,0,0,65,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
57,0,0,0,45,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
36,1,0,0,50,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
41,1,0,0,40,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
42,1,0,0,45,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
58,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
45,1,0,0,40,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
28,1,0,0,65,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
20,0,0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
38,1,0,0,50,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
45,0,0,0,40,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
38,1,0,0,45,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
37,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
17,1,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
57,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
40,0,4064,0,12,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
57,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
41,0,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
33,1,0,0,40,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
72,1,0,2246,28,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1
73,1,0,0,5,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
29,1,0,0,50,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
25,1,0,0,20,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
25,0,0,0,45,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
27,1,0,0,40,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
38,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
25,1,0,0,30,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
57,0,0,0,16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
27,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
30,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
24,0,0,0,35,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
46,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
53,1,0,1902,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
28,1,0,0,40,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
31,0,0,0,45,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
37,1,1055,0,20,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
24,0,0,0,40,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
56,1,0,0,40,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
47,0,0,0,40,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
33,1,0,0,40,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
44,1,0,1887,70,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
58,0,0,0,40,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
43,1,0,0,40,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
38,0,0,0,24,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
43,1,0,0,40,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
29,0,0,0,25,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
31,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53,1,0,0,40,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
65,0,2993,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
23,0,0,0,15,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
68,0,0,0,24,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
51,1,0,0,40,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
66,0,0,0,50,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
43,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
54,1,15024,0,60,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
44,1,0,0,60,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
25,0,0,0,40,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
30,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
51,1,0,0,60,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
18,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
55,0,99999,0,37,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1
27,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
31,1,0,0,35,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
33,1,0,0,33,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
64,1,0,0,45,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
42,1,0,0,40,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
50,1,0,0,40,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
51,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
43,0,0,1887,70,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
33,1,0,0,55,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
52,0,0,0,55,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
37,1,0,0,45,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
27,1,4508,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
20,1,0,0,20,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
36,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
30,1,0,0,45,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
32,0,0,0,50,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
32,0,0,2205,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
53,1,0,0,60,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
61,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
22,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
29,0,0,0,44,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
50,1,0,0,20,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
24,0,0,0,40,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
53,0,0,0,50,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
47,1,0,0,40,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
34,1,15024,0,60,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
36,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
49,1,5013,0,50,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
57,1,0,0,35,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
40,1,0,0,45,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
31,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
32,1,0,0,44,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
41,1,0,0,60,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
25,1,0,0,38,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
23,0,0,0,36,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
19,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
53,0,0,0,40,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
51,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
57,1,0,0,80,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
19,1,0,0,50,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
20,1,0,0,40,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
25,1,0,0,40,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
44,1,0,0,40,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
27,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
39,0,0,0,30,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
22,1,0,0,50,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
44,0,0,0,40,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
37,1,0,0,90,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
50,1,0,0,48,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
58,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
54,1,0,1887,65,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
35,1,0,0,50,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
47,0,0,0,30,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
63,1,0,0,15,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
39,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
46,1,99999,0,55,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
47,1,15024,0,40,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
90,1,2414,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
51,1,5178,0,45,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
61,1,0,0,40,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
24,1,0,0,40,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
59,1,2635,0,60,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
44,1,0,0,40,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
35,1,0,0,40,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
47,1,0,0,40,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
30,1,0,0,45,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
35,1,0,0,48,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
58,1,0,0,44,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
21,0,0,0,38,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
47,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
24,1,13550,0,50,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
22,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
66,1,0,0,10,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
21,0,0,0,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
57,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
